,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
112,Venezuela,165, ,165, ,65,93,6,6,0.2,"1,779",63
113,Bangladesh,164,+41,164,+5,33,114,1,1.0,0.1,"4,289",26
114,Mayotte,164, ,164, ,15,147,3,601,7,479,"1,756"
115,DRC,161, ,161, ,5,138, ,2,0.2, , 
116,Martinique,151, ,151, ,50,97,20,402,11, , 
117,Isle of Man,150,+11,150, ,73,76,6,"1,764",12,"1,669","19,628"
118,Guadeloupe,139, ,139, ,31,101,14,347,17, , 
119,Brunei ,135, ,135, ,85,49,3,309,2,"8,845","20,218"
120,Guinea,128, ,128, ,5,123, ,10, , , 
121,Paraguay,115,+2,115, ,15,95,1,16,0.7,"2,039",286
122,Cambodia,115,+1,115, ,58,57,1,7, ,"5,768",345
123,Gibraltar,113,+4,113, ,60,53, ,"3,354", ,"1,440","42,741"
124,Trinidad and Tobago,106,+1,106, ,1,97, ,76,6,870,622
125,Rwanda,105, ,105, ,7,98, ,8, ,806,62
126,Djibouti,90, ,90, ,9,81, ,91, ,"2,229","2,256"
127,Madagascar,82, ,82, ,2,80,6,3, , , 
128,Monaco,79,+2,79, ,4,74,4,"2,013",25, , 
129,El Salvador,78,+9,78, ,5,69,4,12,0.6, , 
130,Guatemala,77,+7,77, ,17,57,3,4,0.2,"1,134",63
131,Liechtenstein,77, ,77, ,55,21, ,"2,020",26,900,"23,605"
132,Aruba,74,+3,74, ,14,60, ,693, ,954,"8,935"
133,French Guiana,72, ,72, ,34,38,1,241, , , 
134,Togo,65,+7,65, ,23,39, ,8,0.4,"1,617",195
135,Barbados,63,+3,63,+1,6,54,4,219,10,557,"1,938"
136,Jamaica,59, ,59, ,8,48, ,20,1,540,182
137,Mali,56,+9,56, ,12,39, ,3,0.2, , 
138,Ethiopia,52,+8,52, ,4,46,1,0.5,0.02,"2,271",20
139,Uganda,52, ,52, , ,52, ,1, ,"3,310",72
140,French Polynesia,47,+5,47, , ,47, ,167, ,694,"2,471"
141,Congo,45, ,45, ,2,38, ,8,0.9, , 
142,Macao,44, ,44, ,10,34,1,68, , , 
143,Sint Maarten,40,+3,40, ,1,33,2,933,140,112,"2,612"
144,Bermuda,39, ,39, ,17,20, ,626,32,306,"4,913"
145,Cayman Islands,39, ,39, ,1,37, ,593,15,365,"5,554"
146,Zambia,39, ,39, ,7,31, ,2,0.05,619,34
147,Bahamas,33, ,33, ,5,23,1,84,13, , 
148,Guinea-Bissau,33,+15,33, , ,33, ,17, , , 
149,Saint Martin,32, ,32, ,7,23,6,828,52, , 
150,Guyana,31, ,31,+1,8,18,8,39,6,115,146
151,Eritrea,31, ,31, , ,31, ,9, , , 
152,Gabon,30,+6,30, ,1,28, ,13,0.4, , 
153,Benin,26, ,26, ,5,20, ,2,0.08, , 
154,Haiti,25,+1,25, , ,24, ,2,0.09,257,23
155,Tanzania,24, ,24, ,5,18, ,0.4,0.02, , 
156,Myanmar,22, ,22, , ,21, ,0.4,0.02,"1,246",23
157,Syria,19, ,19, ,3,14, ,1,0.1, , 
158,Libya,19, ,19, ,1,17, ,3,0.1,326,47
159,Maldives,19, ,19, ,13,6, ,35, , , 
160,New Caledonia,18, ,18, ,1,17, ,63, ,"2,135","7,478"
161,Angola,16, ,16, ,2,12, ,0.5,0.06, , 
162,Equatorial Guinea,16, ,16, ,3,13, ,11, ,854,609
163,Namibia,16, ,16, ,3,13, ,6, ,362,142
164,Antigua and Barbuda,15, ,15, , ,15,1,153, ,40,408
165,Dominica,15, ,15, ,1,14, ,208, ,293,"4,070"
166,Fiji,15,+1,15, , ,15, ,17, , , 
167,Mongolia,15, ,15, ,4,11, ,5, , , 
168,Liberia,14, ,14, ,3,8, ,3,0.6, , 
169,Sudan,14,+2,14, ,2,10, ,0.3,0.05, , 
170,Laos,14,+2,14, , ,14, ,2, ,765,105
171,Saint Lucia,14, ,14, ,1,13, ,76, , , 
172,Curaçao,13, ,13, ,7,5, ,79,6, , 
173,Grenada,12, ,12, , ,12,2,107, ,45,400
174,Greenland,11, ,11, ,10,1, ,194, ,752,"13,246"
175,Saint Kitts and Nevis,11,+1,11, , ,11, ,207, ,183,"3,440"
176,Seychelles,11, ,11, , ,11, ,112, , , 
177,Suriname,10, ,10, , ,9, ,17,2, , 
178,Zimbabwe,10, ,10, , ,9, ,0.7,0.07,316,21
179,Chad,10,+1,10, ,2,8, ,0.6, , , 
180,Mozambique,10, ,10, ,1,9, ,0.3, ,363,12
181,Eswatini,10, ,10, ,4,6, ,9, , , 
182,MS Zaandam,9, ,9, , ,7, , , , , 
183,Nepal,9, ,9, ,1,8, ,0.3, ,"1,890",65
184,Malawi,8,+3,8,+1, ,7,1,0.4,0.05, , 
185,Turks and Caicos,8, ,8, , ,7, ,207,26,61,"1,576"
186,CAR,8, ,8, , ,8, ,2, , , 
187,Somalia,8,+1,8, ,1,7, ,0.5, , , 
188,Belize,7, ,7, , ,6,1,18,3,268,674
189,Cabo Verde,7, ,7, ,1,5, ,13,2, , 
190,Vatican City,7, ,7, , ,7, ,"8,739", , , 
191,St. Vincent Grenadines,7, ,7, ,1,6, ,63, ,56,505
192,Botswana,6, ,6, , ,5, ,3,0.4,"1,154",491
193,Mauritania,6, ,6, ,2,3, ,1,0.2,67,14
194,Nicaragua,6, ,6, , ,5, ,0.9,0.2, , 
195,Montserrat,6, ,6, , ,6, ,"1,202", , , 
196,St. Barth,6, ,6, ,1,5, ,607, , , 
197,Sierra Leone,6, ,6, , ,6, ,0.8, , , 
198,Bhutan,5, ,5, ,2,3, ,6, ,"1,166","1,511"
199,Gambia,4, ,4, ,2,1, ,2,0.4, , 
200,Sao Tome and Principe,4, ,4, , ,4, ,18, ,19,87
201,Western Sahara,4, ,4, , ,4, ,7, , , 
202,Anguilla,3, ,3, , ,3, ,200, , , 
203,British Virgin Islands,3, ,3, , ,3, ,99, , , 
204,Burundi,3, ,3, , ,3, ,0.3, , , 
205,Caribbean Netherlands,2, ,2, , ,2, ,76, ,10,381
206,Falkland Islands,2, ,2, , ,2, ,575, , , 
207,Papua New Guinea,2, ,2, , ,2, ,0.2, ,72,8
208,Saint Pierre Miquelon,1, ,1, , ,1, ,173, , , 
209,South Sudan,1, ,1, , ,1, ,0.09, , , 
210,Timor-Leste,1, ,1, , ,1, ,0.8, , , 
211,China,"81,740",+32,"81,740", ,"77,167","1,242",211,57,2, , 
212,Total:,"1,412,356","+66,352","1,412,356","+6,443","301,166","1,030,093","47,901",181.2,10.4, , 
